repo id:301548 , pid:860202, efficiency20/ops_middleware
repo id:7399046 , pid:15625855, naoty/stlgen
repo id:5488982 , pid:11929555, murphy99/rails-bootstrap
repo id:9992517 , pid:20503007, opf/openproject-auth_plugins
repo id:878610 , pid:2302291, callumj/WebSocketsFun
repo id:2411 , pid:11669, technicalpickles/vlad-extras
repo id:5156578 , pid:11283315, Mulkave/remote-git-setup
repo id:5477772 , pid:11907368, JJ-DBC/deaf_grandma_1
repo id:8249043 , pid:17268942, wannabefro/gets_some
repo id:2440533 , pid:5876624, GlobalNamesArchitecture/karousel
repo id:7115676 , pid:15084849, Scrambler70/first_app
repo id:6831658 , pid:14539693, dancarter/GameData
repo id:3865788 , pid:8813375, bdef45/omrails
repo id:811727 , pid:2135849, unthinkingly/hot-symbols
repo id:2844940 , pid:6743062, ktonon/code_node
repo id:12250173 , pid:24572347, TheDeadDreamer/first_app
repo id:4192730 , pid:9455422, kyanny/crx_unpack
repo id:5451185 , pid:11856056, waaaaargh/waaaaargh.github.io
repo id:4993610 , pid:10997002, AndrewBKang/checkers
repo id:4585362 , pid:10231658, lfarricker/Hello-World
repo id:222771 , pid:645188, tenno-seremel/ruby-ccg
repo id:4281901 , pid:9632002, ScottyLabs/printscottylabs-website
repo id:81629 , pid:240845, timcharper/git-helpers
repo id:3526122 , pid:8127800, joenas/pushover
repo id:6540802 , pid:13972970, hanza/server
repo id:596643 , pid:1605926, ged/inversion
repo id:7071296 , pid:15000580, tcarlock/desk_case_dashboard
repo id:3239325 , pid:7542419, hewtwit/tiernanotoole.ie
repo id:1023775 , pid:2658945, mkremer/echo_service
repo id:4178076 , pid:9426209, oshige/BRM
repo id:1099909 , pid:2839016, jacksunsea/happyruby
repo id:8286019 , pid:17338851, stevebutterworth/house-prices
repo id:102418 , pid:296944, dbalatero/poser
repo id:44681 , pid:140890, ttilley/rails_dojo_helpers
repo id:3365584 , pid:7801927, ywee/cis350
repo id:8607851 , pid:17940921, dennybaa/chef-kibana_auth
repo id:197876 , pid:577379, davidfb/redmine_projects_approval
repo id:227605 , pid:661356, cbrumelle/blueprintr
repo id:12761090 , pid:25502843, hynkle/genetic_traveling_salesman
repo id:9673499 , pid:19917294, marcoball/first_app
repo id:2351619 , pid:5681790, dschnare/jekyll-tools
repo id:2036180 , pid:4994391, safareli/myip
repo id:4176882 , pid:9423883, begriffs/lucre
repo id:6524438 , pid:13940827, edatrix/clone_wars
repo id:278183 , pid:797631, jakewendt/bells_and_whistles_demo
repo id:10931728 , pid:22214651, baozidotrails/nike
repo id:1211831 , pid:3098668, consolo/american_date_monkey_patch
repo id:11058881 , pid:22429540, Bitvala/rails_demo_app
repo id:11003196 , pid:22333677, Banashek/ProgrammingChallenges
repo id:13109500 , pid:26074802, dvidlui/sample_app2
repo id:742653 , pid:1964183, lstoll/heroku-rubinius
repo id:4854606 , pid:10762625, traels/spree-promotion-exclude-specials-rule
repo id:4496435 , pid:10056007, CZJ117/first_app
repo id:2115307 , pid:5154875, larskotthoff/v-euc
repo id:553282 , pid:1498479, Parre/paralytic
repo id:8390188 , pid:17539984, lean-poker/poker-player-ruby
repo id:607718 , pid:1633645, togle/first_app
repo id:284914 , pid:815566, joshsz/pivotal_attribution
repo id:3577467 , pid:8233343, egotsev/ranker
repo id:7322327 , pid:15480301, katepdonahue/Restful-Rabbits
repo id:2308000 , pid:5585012, falves/sample_app
repo id:77482 , pid:229391, Shazburg/Shell-Scripts
repo id:9260300 , pid:19153783, brain-scape/Podspecs
repo id:6209614 , pid:13323696, wieseljonas/demo_app
repo id:2908181 , pid:6868276, millie/heroku-buildpack-ruby-pdftk
repo id:7657872 , pid:16129403, planningalerts-scrapers/pittwater
repo id:2855144 , pid:6764067, emcien/finch
repo id:4047821 , pid:9169758, murraju/hadooplib
repo id:3139600 , pid:7339774, Starki09/sample_app
repo id:115486 , pid:332200, jasherai/role_requirement
repo id:4437166 , pid:9937891, dahakawang/pdfysite
repo id:9579304 , pid:19744430, ngerakines/preview-chef-cookbook
repo id:3372937 , pid:7817028, hungarianrails/first_app
repo id:5285158 , pid:11530665, d6u/oauth_weibo
repo id:616014 , pid:1653965, nrgiser/first_app
repo id:2257965 , pid:5477819, liuqingbo/common_oa
repo id:2796187 , pid:6640776, giobox/first_app
repo id:11581657 , pid:23366209, seanmsmith23/angular-todo
repo id:11638182 , pid:23470431, Murphydbuffalo/dan-murphy-dev
repo id:3640703 , pid:8361137, xlunchxbox/first_app
repo id:578031 , pid:1559903, endeepak/transformers
repo id:931251 , pid:2432687, nruth/eraser
repo id:6391084 , pid:13680360, henning/aldryn-importer
repo id:181275 , pid:535936, cleverua/best_thumbnail
repo id:5582144 , pid:12108216, kgrz/can_grit_be_used_in_gh
repo id:12078 , pid:47657, blaxter/rtwittbot
repo id:11073951 , pid:22455313, burtlo/rake-core
repo id:2275299 , pid:5517089, mrmarcel/tag-parser
repo id:6703140 , pid:14291227, huynhdangkhoa/first_app
repo id:6336186 , pid:13573013, hambly/Programming-Challenges-and-Exercises
repo id:8796566 , pid:18296977, jeffhsta/SpiralMatrix
